1sup,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
,4,,12:40:07,,0:15:10,0:17:01,0:15:31,,,,,,
,,,,,,,,,,,,,
Type 2,,12:47:31:31:302,13:04:32:968,,,,,,,,,,
,1,12:47:31,12:52:33,,,,,,,,,,
,2,,12:54:14,,,,,,,,,,
,3,,12:58:27,,,,,,,,,,
,4,,13:04:32,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,13:07:10:925,13:22:41:432,,,,,,,,,,
,1,13:07:10,13:10:57,,,,,,,,,,
,2,,13:15:07,,,,,,,,,,
,3,,13:18:30,,,,,,,,,,
,4,,13:22:41,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
20,20shy,,,,,,,,,,,,
,,,,,,,,,,,,,
,:02,start,end,,,,,,,,,,
Type 1,,16:12:10,16:20:21:061,,,,,,,,,,
,1,16:12:10,16:13:26,,0:08:11,0:10:06,0:11:59,,,,,,
,2,,16:15:40,,,,,,,,,,
,3,,16:17:27,,,,,,,,,,
,4,,16:20:21,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,16:20:50:181,16:30:56:708,,,,,,,,,,
,1,16:20:50,16:23:19,,,,,,,,,,
,2,,16:25:18,,,,,,,,,,
,3,,16:28:00,,,,,,,,,,
,4,,16:30:56,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,16:31:32:952,16:43:31:306,,,,,,,,,,
,1,16:31:32,16:35:02,,,,,,,,,,
,2,,16:37:02,,,,,,,,,,
,3,,16:41:05,,,,,,,,,,
,4,,16:43:31,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
21,21tar,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,15:14:01:376,15:28:32:235,,,,,,,,,,
,1,15:14:01,15:17:42,,,,,,,,,,
,2,,15:19:36,,,0:14:31,0:10:50,0:08:01,,,,,
,3,,15:22:29,,,,,,,,,,
,4,,15:28:32,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,15:29:22:328,15:40:12:338,,,,,,,,,,
,1,15:29:22,15:32:59,,,,,,,,,,
,2,,15:34:22,,,,,,,,,,
,3,,15:36:40,,,,,,,,,,
,4,,15:40:12,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:41:29:709,15:49:30:356,,,,,,,,,,
,1,15:41:29,15:43:27,,,,,,,,,,
,2,,15:45:35,,,,,,,,,,
,3,,15:48:12,,,,,,,,,,
,4,,15:49:30,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
22,22Ayu,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,16:46:46:894,17:03:25:876,,11:17:46,,,,,,,,
,1,16:46:46,16:50:38,,,,,,,,,,
,2,,16:57:50,,,,0:16:39,0:15:28,0:15:19,,,,
,3,,dint do 4th,,11:39,,,,,,,,
,4,,17:03:25,,,,,,,,,,
,,,,,22 minutes,,,,,,,,
Type 2,,17:04:32:580,17:20:00:016,,,,,,,,,,
,1,17:04:32,17:09:00,,,,,,,,,,
,2,,17:12:09,,,,,,,,,,
,3,,17:18:39,,,,,,,,,,
,4,,17:20:00,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,17:23:21:321,17:38:40:546,,,,,,,,,,
,1,17:23:21,17:27:40,,,,,,,,,,
,2,,17:32:42,,,,,,,,,,
,3,,dint do 4th ,,,,,,,,,,
,4,,17:38:40,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
23,23nih,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,12:28:58:239,12:44:19:438,,,,,,,,,,
,1,12:28:58,16:50:38,,,,,,,,,,
,2,,16:57:50,,,,,,,,,,
,3,,dint do 4th,,,0:15:21,0:12:20,0:15:55,,,,,
,4,,12:44:19,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,12:45:11:166,12:57:31:113,,,,,,,,,,
,1,12:45:11,12:50:27,,,,,,,,,,
,2,,12:51:43,,,,,,,,,,
,3,,12:54:32,,,,,,,,,,
,4,,12:57:31,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,12:58:34:274,13:14:29:319,,,,,,,,,,
,1,12:58:34,13:03:54,,,,,,,,,,
,2,,13:08:21,,,,,,,,,,
,3,,13:11:59,,,,,,,,,,
,4,,13:14:29,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
24,24pra,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,14:28:10:844,14:44:54:641,,,,,,,,,,
,1,14:28:10,14:30:43,,,,,,,,,,
,2,,,,0:16:44,0:15:20,0:15:39,,,,,,
,3,,14:48:12,,,,,,,,,,
,4,,14:44:54,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,14:45:10:583,15:00:30:413,,,,,,,,,,
